,Chandler Bing,Joey Tribbiani,Monica Geller,Phoebe Buffay,Rachel Green,Ross Geller
adopt,-0.5514590059910923,-0.39917276397582757,1.8521768803091279,-0.39740017395609195,-0.19252140099353418,-0.3116235353925461
pad,-0.29628153247920586,-0.4392247894363562,1.55535680930048,-0.21826417011132146,-0.33156182437639026,-0.27002449289722075
mockolate,-0.2366860797668601,-0.28107407426534115,1.4761575650226395,-0.2247304090427733,-0.32767502328513604,-0.40599197866251546
sweetie,-1.1317560506525244,-0.8889432934108793,1.4711050127163503,-0.3522284478900328,0.1359754905695355,0.7658472886675761
pete,-0.0856160810407414,-0.2891901491481049,1.4341522973473322,-0.4781532565931834,0.04582644584792474,-0.6270192564132394
established,0.43851732460324755,-0.6223096982325309,1.4274041045970216,-0.33319175797046907,-0.42263405730624165,-0.48778591569106183
michelle,-0.33208664363002216,-0.49244510125763796,1.4116176790555632,-0.5355459439601672,-0.43851965907775586,0.38697966887002094
ovulating,0.38670563271513875,-0.4906654103988419,1.4073360538265722,-0.3705819623216343,-0.5432317431083175,-0.3895625707129514
chef,-0.6466895453020228,0.36656320973208095,1.4032004004240208,-0.09095872126663858,-0.9483712693653057,-0.08374407422213219
gosh,-0.38418214638373743,-0.9083903711337996,1.374676556725418,-0.1800395465955353,0.8156807174029886,-0.7177452100153595
phyllis,-0.6613742281201728,-0.2545228467158286,1.3650079104900028,-0.15950697684940837,-0.5177441710359147,0.22814031223129547
boots,0.5667293520111429,-0.5975465064620225,1.3614200291345608,-0.4370463253886867,-0.4918393121509901,-0.4017172371439709
floor,-0.48814551954910657,0.09090625110723413,1.3475568615181768,-0.4293744119767048,-0.0439538993752734,-0.47698928172430505
40,-0.16735155161095247,-0.4027264634637311,1.3132474862795052,-0.5291422530077482,0.48883253931938053,-0.7028597575164052
positive,-0.5459075474631901,-0.4694066891470506,1.3051786809921908,0.6731813307635802,-0.3939236571462774,-0.5691221179992384
dangerous,0.5378398412618599,-0.5042286686691317,1.2906131181340323,-0.4331374768494283,-0.5425612341399277,-0.3485255797373788
inches,-0.32591040578451685,-0.23458306312223048,1.2768055620453647,-0.1581597024843978,-0.3875962643727146,-0.17055612628149092
pounds,0.2659462602604328,-0.5788112855610267,1.276225457159851,-0.39544964579764724,-0.4954024941841311,-0.07250829187747178
guest,0.1954307486651749,-0.37586874728430286,1.2716127903989123,-0.4317290608109278,-0.38342139449011264,-0.2760243364787183
amanda,-0.493467782948047,-0.8512836766911197,1.2707375978332673,-0.4016854445075759,-0.22928214015104628,0.7049814464645148
shark,-0.4339838363164378,-0.19573964226812207,1.25390732308275,-0.18964022700649993,-0.14033151133052046,-0.2942121061611594
aunt,-0.6607035021764975,-1.0397336943333233,1.248013799355179,0.1305683301296824,0.171945393565251,0.1499096734596853
caterer,-0.3048124341059253,-0.2477188097277054,1.2365941427660043,0.12721472037790343,-0.21361140197109524,-0.5976662173391812
breakup,-0.6774912386982341,0.2512574274986921,1.2302812511210381,-0.29096698337969035,-0.31808918318964385,-0.1949912733521209
macaroni,-0.3925496752053119,0.06645775266372632,1.2220206178323272,-0.35009910516897386,-0.25395883214776804,-0.2918707579739606
richard,1.0494016527407772,-0.22057025410997497,1.2101494592941284,-0.11329997913540504,-1.0152952075301092,-0.9103856712593743
ginger,-0.3617505482349801,-0.4516464180491739,1.2000835794345404,0.40248249141520476,-0.4453268092301809,-0.34384229533541144
feelin,-0.09777898867446227,-0.5191598235871177,1.1873742598366992,-0.16349536650252733,-0.17342153065685384,-0.2335185504157038
pink,-0.3811566753513346,0.2149863571784523,1.1833963181007248,-0.10841213866510707,-0.6670972458801951,-0.24171661538254183
flower,0.31910973929381664,-0.2230905584977512,1.1823236114995845,-0.6089738001863597,-0.5244120343205367,-0.14495695778872517
oklahoma,0.19219303593191975,-0.2998814728991295,1.1814310345583607,-0.2837329181351033,-0.474355427308648,-0.3156542521473558
embarassing,-0.27352490456733486,-0.051593240057056705,1.1645382620840183,-0.48654959035202683,-0.2829441215147212,-0.0699264055928602
queen,-0.7570235345784785,-0.5087675064121184,1.1643094853228781,0.23188128618144335,-0.13705678626793316,0.006657055754233786
larry,-0.4348835614924258,-0.3659727698036889,1.1619338512644284,0.6179679055227956,-0.6479686892567383,-0.33107673623433004
plastic,0.1371714328095256,-0.2629342851064164,1.158661510279357,-0.0002281098114850875,-0.6318335835126352,-0.4008369646583332
mirror,0.6735796903002533,-0.5308311521687248,1.158203547482804,-0.0557140441397618,-0.5138991665867747,-0.731338874887797
ultimate,-0.31371420133271644,0.20883564914760377,1.1552024448396558,-0.7210059419496787,-0.2288117510939178,-0.10050619961094472
costumes,-0.23907107078881765,-0.17533951624381985,1.1495719548665357,-0.15950460337335298,-0.23278274013438094,-0.342874024326144
22,-0.22092437280784075,-0.3807505836502036,1.1459248548661785,-0.3869087252541864,-0.25917631627507776,0.10183514312113331
armadillo,-0.4741217447048745,-0.216358858001642,1.1457567363322132,-0.22347032620286705,-0.14903012716599845,-0.08277568025685354
restaurant,-0.20789074317574693,-0.18472380168947794,1.1454339343115654,-0.02762458287428797,-0.01260555611110995,-0.7125892504609318
deliver,-0.4159505410655345,-0.13767485457702333,1.1431519801330647,-0.12743176872534429,-0.2214431346964972,-0.24065168106866858
opportunity,-0.5976089930423084,0.06804858694482066,1.1409798579909187,-0.21289816683576412,-0.7629831316680642,0.36446184661041303
dancer,-0.5817494718230797,0.3782080373680366,1.1277437167900743,0.305635193348488,-0.32788620200727636,-0.9019512736762488
