,Chandler Bing,Joey Tribbiani,Monica Geller,Phoebe Buffay,Rachel Green,Ross Geller
mark,-0.7265636011305154,-0.4895246441381826,-0.24254559809172077,-0.7439568926808225,1.0256793458142957,1.176911390226979
seize,-0.16610430187619787,-0.3317724644366173,-0.3934941616365654,-0.18786138210431896,-0.09610638669363403,1.1753386967473467
sidecar,-0.2747563596798462,-0.22864356869896577,-0.2759843665479749,-0.2658201258975987,-0.12495568834569823,1.170160109170087
divorces,-0.5492833578618536,-0.31194960745821754,0.025459311396761844,0.32131601742142585,-0.6519567604564971,1.1664143969583802
cheryl,-0.2074907681231686,-0.1496559649427797,-0.2016964331797028,-0.2835965561863175,-0.32376105843040087,1.166200780862349
chancy,-0.15612243549353624,-0.17599080013706464,-0.31524848193699406,-0.2927127467207645,-0.22572143860997654,1.1657959028983074
cailin,-0.23764304695809232,-0.20787726744933946,-0.19041465261021262,-0.2977130053317569,-0.2257468823366936,1.1593948546861128
learning,-0.38387066037864126,-0.37317157040917126,0.38982405907042605,-0.4872080790668626,-0.30487964376389115,1.1593058945481498
mouse,-0.2765374706663523,-0.2352470685578204,-0.26794016531092446,-0.16379025815931933,-0.21222382612625357,1.1557387888206498
kiwi,-0.5676379799843015,-0.42414996593894033,0.28986655674469136,-0.18617935261895463,-0.26580346911820724,1.1539042109157356
